STRUCTURE_TYPE,TYPE,the_geom,REVIS_DATE,ACCESS_HOURS,MODIFIED_DT,,
Open to Sky,,"MULTIPOLYGON (((-114.06932269914161 51.04809549552547, -114.06940221116588 51.04809767689382, -114.06942978149003 51.048098415657144, -114.06942652915377 51.04814470840147, -114.0693554115543 51.04814258319906, -114.06927837136894 51.04814064665239, -114.06921134937797 51.048170818132455, -114.06921674777537 51.04809258811056, -114.06932269914161 51.04809549552547",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.06932269914161 51.04809549552547, -114.06940221116588 51.04809767689382, -114.06942978149003 51.048098415657144, -114.06942652915377 51.04814470840147, -114.0693554115543 51.04814258319906, -114.06927837136894 51.04814064665239, -114.06921134937797 51.048170818132455, -114.06921674777537 51.04809258811056, -114.06932269914161 51.04809549552547"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06024804317447 51.04693846080775, -114.06025021548459 51.04690792157283, -114.06068203715043 51.04692070452096, -114.06068161741634 51.04692690765305, -114.06068065145105 51.046951648792366, -114.06067994406119 51.0469516266853, -114.06046434014513 51.04694505005956, -114.06024804317447 51.04693846080775",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.06024804317447 51.04693846080775, -114.06025021548459 51.04690792157283, -114.06068203715043 51.04692070452096, -114.06068161741634 51.04692690765305, -114.06068065145105 51.046951648792366, -114.06067994406119 51.0469516266853, -114.06046434014513 51.04694505005956, -114.06024804317447 51.04693846080775"
Open to Sky,,"MULTIPOLYGON (((-114.0675171664463 51.048085261339544, -114.0675229447631 51.04803194441254, -114.06752818909551 51.047976262595476, -114.06760276790763 51.047977583226015, -114.06759111067326 51.04813647713866, -114.06751544958038 51.048134474805416, -114.0675171664463 51.048085261339544",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.0675171664463 51.048085261339544, -114.0675229447631 51.04803194441254, -114.06752818909551 51.047976262595476, -114.06760276790763 51.047977583226015, -114.06759111067326 51.04813647713866, -114.06751544958038 51.048134474805416, -114.0675171664463 51.048085261339544"
Enclosed,,"MULTIPOLYGON (((-114.07053831490613 51.04622989263892, -114.07054416121423 51.04614866058714, -114.07133907903561 51.04617120800103, -114.07133920562696 51.04625362309171, -114.07053831490613 51.04622989263892",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.07053831490613 51.04622989263892, -114.07054416121423 51.04614866058714, -114.07133907903561 51.04617120800103, -114.07133920562696 51.04625362309171, -114.07053831490613 51.04622989263892"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07930904963523 51.047065515978026, -114.07931673356916 51.04694689215807, -114.07932441746418 51.04682826833522, -114.07941958725935 51.046830793648645, -114.07941964459492 51.04683096351562, -114.07941971619485 51.046831135170834, -114.07940375233163 51.04706815129601, -114.07930904963523 51.047065515978026",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07930904963523 51.047065515978026, -114.07931673356916 51.04694689215807, -114.07932441746418 51.04682826833522, -114.07941958725935 51.046830793648645, -114.07941964459492 51.04683096351562, -114.07941971619485 51.046831135170834, -114.07940375233163 51.04706815129601, -114.07930904963523 51.047065515978026"
Open to Sky,,"MULTIPOLYGON (((-114.05881397295377 51.04683456873581, -114.05883690637582 51.046488867873876, -114.05932927558004 51.04650413166222, -114.05933071114929 51.04648362176049, -114.05934956795178 51.046484160560524, -114.05934741793989 51.04650469689551, -114.05934992657848 51.04650477383235, -114.0593377947856 51.046687979925466, -114.05932671142955 51.04684911389241, -114.05881397295377 51.04683456873581",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.05881397295377 51.04683456873581, -114.05883690637582 51.046488867873876, -114.05932927558004 51.04650413166222, -114.05933071114929 51.04648362176049, -114.05934956795178 51.046484160560524, -114.05934741793989 51.04650469689551, -114.05934992657848 51.04650477383235, -114.0593377947856 51.046687979925466, -114.05932671142955 51.04684911389241, -114.05881397295377 51.04683456873581"
Enclosed,,"MULTIPOLYGON (((-114.0678047885628 51.04456970603346, -114.06751858218924 51.044560305742706, -114.06752273897574 51.04451408351964, -114.06729877779759 51.04450686358263, -114.06729527766038 51.04455369672162, -114.0669936123647 51.04454581252257, -114.06699360887801 51.044543395184924, -114.0667476796316 51.044536451079914, -114.06674469419747 51.04457069917872, -114.06652070868006 51.04456451338217, -114.06652195514172 51.04454366457928, -114.06639320675963 51.044539905461924, -114.06639647924514 51.04449379615296, -114.06641013738825 51.04449436193834, -114.06641311786731 51.04445647930075, -114.06629430794105 51.044452743193915, -114.06629623165465 51.04442574413136, -114.06629892239991 51.04439761821979, -114.0663884559852 51.044400819884125, -114.06638667046664 51.04442569279755, -114.06652506828907 51.04443020516388, -114.0665197095319 51.04450214407104, -114.06674942401688 51.044508887557306, -114.06675096198923 51.044496463764624, -114.06699740664965 51.04450397571853, -114.06700188741235 51.044454613213574, -114.0670410399335 51.04445573875164, -114.06703701210995 51.04450469376331, -114.06720227056269 51.04450959715348, -114.06720555054817 51.04446922776282, -114.06723636005576 51.04446993191895, -114.06724038088052 51.04442022985712, -114.0673095808124 51.04442267748559, -114.06730538481281 51.04447150315153, -114.06759191056906 51.04448029247772, -114.06758920714648 51.04451485148029, -114.06776688329039 51.04452038785863, -114.06777005446692 51.04447712831544, -114.06781072462631 51.04447844419704, -114.0678047885628 51.04456970603346",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.0678047885628 51.04456970603346, -114.06751858218924 51.044560305742706, -114.06752273897574 51.04451408351964, -114.06729877779759 51.04450686358263, -114.06729527766038 51.04455369672162, -114.0669936123647 51.04454581252257, -114.06699360887801 51.044543395184924, -114.0667476796316 51.044536451079914, -114.06674469419747 51.04457069917872, -114.06652070868006 51.04456451338217, -114.06652195514172 51.04454366457928, -114.06639320675963 51.044539905461924, -114.06639647924514 51.04449379615296, -114.06641013738825 51.04449436193834, -114.06641311786731 51.04445647930075, -114.06629430794105 51.044452743193915, -114.06629623165465 51.04442574413136, -114.06629892239991 51.04439761821979, -114.0663884559852 51.044400819884125, -114.06638667046664 51.04442569279755, -114.06652506828907 51.04443020516388, -114.0665197095319 51.04450214407104, -114.06674942401688 51.044508887557306, -114.06675096198923 51.044496463764624, -114.06699740664965 51.04450397571853, -114.06700188741235 51.044454613213574, -114.0670410399335 51.04445573875164, -114.06703701210995 51.04450469376331, -114.06720227056269 51.04450959715348, -114.06720555054817 51.04446922776282, -114.06723636005576 51.04446993191895, -114.06724038088052 51.04442022985712, -114.0673095808124 51.04442267748559, -114.06730538481281 51.04447150315153, -114.06759191056906 51.04448029247772, -114.06758920714648 51.04451485148029, -114.06776688329039 51.04452038785863, -114.06777005446692 51.04447712831544, -114.06781072462631 51.04447844419704, -114.0678047885628 51.04456970603346"
Open to Sky,,"MULTIPOLYGON (((-114.05868425308998 51.050112621473914, -114.05930863281898 51.05012929510595, -114.05927783125419 51.05062256257559, -114.05917219725336 51.050618666913856, -114.05917409158496 51.0505931441257, -114.05914409567201 51.05059267296351, -114.05915305998846 51.05053027164476, -114.05922276342687 51.050531541656404, -114.05924230894131 51.05020645788987, -114.05880435999852 51.05019368619198, -114.0587357480024 51.0502328970155, -114.05873598175482 51.05024856509062, -114.05866839546783 51.05028582368938, -114.0585672607558 51.05028655582998, -114.05855277012182 51.0502751632191, -114.0586792798821 51.05019618347053, -114.05868425308998 51.050112621473914",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.05868425308998 51.050112621473914, -114.05930863281898 51.05012929510595, -114.05927783125419 51.05062256257559, -114.05917219725336 51.050618666913856, -114.05917409158496 51.0505931441257, -114.05914409567201 51.05059267296351, -114.05915305998846 51.05053027164476, -114.05922276342687 51.050531541656404, -114.05924230894131 51.05020645788987, -114.05880435999852 51.05019368619198, -114.0587357480024 51.0502328970155, -114.05873598175482 51.05024856509062, -114.05866839546783 51.05028582368938, -114.0585672607558 51.05028655582998, -114.05855277012182 51.0502751632191, -114.0586792798821 51.05019618347053, -114.05868425308998 51.050112621473914"
Enclosed,,"MULTIPOLYGON (((-114.05868425308998 51.050112621473914, -114.0587023697542 51.04992589846767, -114.05887672998998 51.04966513837526, -114.05843263503459 51.04965239984403, -114.058434610126 51.04962502693759, -114.05888853036221 51.049638047283814, -114.05890116224938 51.049512041810665, -114.05898465722179 51.049514588746455, -114.05897591194086 51.04964055361178, -114.05936163841041 51.04965161618388, -114.05935966386433 51.04967898910568, -114.05892301803439 51.049666466205714, -114.05874865805362 51.04992722636703, -114.0593252217312 51.049943206554126, -114.05930863281898 51.05012929510595, -114.05868425308998 51.050112621473914",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.05868425308998 51.050112621473914, -114.0587023697542 51.04992589846767, -114.05887672998998 51.04966513837526, -114.05843263503459 51.04965239984403, -114.058434610126 51.04962502693759, -114.05888853036221 51.049638047283814, -114.05890116224938 51.049512041810665, -114.05898465722179 51.049514588746455, -114.05897591194086 51.04964055361178, -114.05936163841041 51.04965161618388, -114.05935966386433 51.04967898910568, -114.05892301803439 51.049666466205714, -114.05874865805362 51.04992722636703, -114.0593252217312 51.049943206554126, -114.05930863281898 51.05012929510595, -114.05868425308998 51.050112621473914"
Enclosed,,"MULTIPOLYGON (((-114.06631349795508 51.04960124999418, -114.06630662088224 51.04954240354807, -114.06674834755044 51.04955481325839, -114.06686847607206 51.04955792156466, -114.0669442922943 51.04961054268259, -114.06694169560348 51.049647456886795, -114.06701886641993 51.04969673929428, -114.06732417013617 51.04970525061304, -114.06740656490838 51.0497608738051, -114.06739790495702 51.04988177174153, -114.0673940984588 51.04993489872415, -114.06738493940075 51.050062771173266, -114.06729475756099 51.0501158436346, -114.06698945115316 51.05010733403859, -114.06690705484155 51.0500517123546, -114.06691066896958 51.050001279720064, -114.0667882292336 51.05007382851487, -114.06677362742296 51.05028502709401, -114.06670848725346 51.05028317285087, -114.06672417076885 51.05005632165031, -114.06691488842596 51.04994236762866, -114.06692868487585 51.04974981417333, -114.0668791488566 51.049697865726365, -114.06676280659094 51.04961739057947, -114.06673712732965 51.04961718319815, -114.06673746257945 51.04961228360565, -114.0665258219907 51.04959892146309, -114.06631349795508 51.04960124999418, (-114.06698854243974 51.04982541494696, -114.06733597351834 51.04983509951473, -114.06734018686137 51.04977628809462, -114.06729468450811 51.04974557033517, -114.06704334788704 51.04973856344218, -114.06699262477208 51.049768415943305, -114.06698854243974 51.04982541494696, (-114.06698559947537 51.049866474512065, -114.06697343342617 51.05003629831159, -114.06701893585077 51.05006701529556, -114.0672702756709 51.050074021340194, -114.06732099751723 51.05004417051885, -114.06733303228677 51.049876159087596, -114.06698559947537 51.049866474512065",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.06631349795508 51.04960124999418, -114.06630662088224 51.04954240354807, -114.06674834755044 51.04955481325839, -114.06686847607206 51.04955792156466, -114.0669442922943 51.04961054268259, -114.06694169560348 51.049647456886795, -114.06701886641993 51.04969673929428, -114.06732417013617 51.04970525061304, -114.06740656490838 51.0497608738051, -114.06739790495702 51.04988177174153, -114.0673940984588 51.04993489872415, -114.06738493940075 51.050062771173266, -114.06729475756099 51.0501158436346, -114.06698945115316 51.05010733403859, -114.06690705484155 51.0500517123546, -114.06691066896958 51.050001279720064, -114.0667882292336 51.05007382851487, -114.06677362742296 51.05028502709401, -114.06670848725346 51.05028317285087, -114.06672417076885 51.05005632165031, -114.06691488842596 51.04994236762866, -114.06692868487585 51.04974981417333, -114.0668791488566 51.049697865726365, -114.06676280659094 51.04961739057947, -114.06673712732965 51.04961718319815, -114.06673746257945 51.04961228360565, -114.0665258219907 51.04959892146309, -114.06631349795508 51.04960124999418, (-114.06698854243974 51.04982541494696, -114.06733597351834 51.04983509951473, -114.06734018686137 51.04977628809462, -114.06729468450811 51.04974557033517, -114.06704334788704 51.04973856344218, -114.06699262477208 51.049768415943305, -114.06698854243974 51.04982541494696, (-114.06698559947537 51.049866474512065, -114.06697343342617 51.05003629831159, -114.06701893585077 51.05006701529556, -114.0672702756709 51.050074021340194, -114.06732099751723 51.05004417051885, -114.06733303228677 51.049876159087596, -114.06698559947537 51.049866474512065"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07345686063921 51.048264690455895, -114.07344622515794 51.0482643609236, -114.07342794352193 51.048263746724786, -114.07339862734678 51.04826297314302, -114.07336959761686 51.0482620627302, -114.0732238416854 51.04825766915764, -114.07322370261198 51.04825991667705, -114.0732189817772 51.04825978478849, -114.07322105235447 51.04823431558874, -114.0734195126066 51.04823977551438, -114.0734196030938 51.048224843517396, -114.07342229816312 51.04818490405346, -114.07351105839989 51.048187455284456, -114.07351089494595 51.048190509198285, -114.07386814082345 51.048202476739064, -114.07386479364378 51.04825002553212, -114.0735085483522 51.04823972045173, -114.07350662356066 51.0482661910207, -114.07345686063921 51.048264690455895",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07345686063921 51.048264690455895, -114.07344622515794 51.0482643609236, -114.07342794352193 51.048263746724786, -114.07339862734678 51.04826297314302, -114.07336959761686 51.0482620627302, -114.0732238416854 51.04825766915764, -114.07322370261198 51.04825991667705, -114.0732189817772 51.04825978478849, -114.07322105235447 51.04823431558874, -114.0734195126066 51.04823977551438, -114.0734196030938 51.048224843517396, -114.07342229816312 51.04818490405346, -114.07351105839989 51.048187455284456, -114.07351089494595 51.048190509198285, -114.07386814082345 51.048202476739064, -114.07386479364378 51.04825002553212, -114.0735085483522 51.04823972045173, -114.07350662356066 51.0482661910207, -114.07345686063921 51.048264690455895"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07047645430904 51.0472061671391, -114.0704766512473 51.047203434142254, -114.07012335434474 51.0471933489013, -114.07012685821898 51.04714413791234, -114.07047259581665 51.047153957109856, -114.07047285285103 51.04715041500099, -114.07051627076602 51.047151746263715, -114.07051224908756 51.04720718476318, -114.07047645430904 51.0472061671391",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07047645430904 51.0472061671391, -114.0704766512473 51.047203434142254, -114.07012335434474 51.0471933489013, -114.07012685821898 51.04714413791234, -114.07047259581665 51.047153957109856, -114.07047285285103 51.04715041500099, -114.07051627076602 51.047151746263715, -114.07051224908756 51.04720718476318, -114.07047645430904 51.0472061671391"
Enclosed,,"MULTIPOLYGON (((-114.06875214110285 51.04715891209092, -114.06876053874893 51.04689535251493, -114.06880513699932 51.04689654078218, -114.06880541849581 51.046894023491774, -114.06888255926967 51.04689595669499, -114.06919809429637 51.04690432404123, -114.06907743721777 51.04699103304587, -114.06882731727673 51.04698390071641, -114.0688146342322 51.04716069393694, -114.06875214110285 51.04715891209092",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.06875214110285 51.04715891209092, -114.06876053874893 51.04689535251493, -114.06880513699932 51.04689654078218, -114.06880541849581 51.046894023491774, -114.06888255926967 51.04689595669499, -114.06919809429637 51.04690432404123, -114.06907743721777 51.04699103304587, -114.06882731727673 51.04698390071641, -114.0688146342322 51.04716069393694, -114.06875214110285 51.04715891209092"
Enclosed,,"MULTIPOLYGON (((-114.0721057619658 51.04682562870811, -114.07220906072267 51.04682843535705, -114.07243432136848 51.04683455552397, -114.07243245302875 51.04686283028561, -114.07207459952134 51.04685310796169, -114.07207646807716 51.04682483230663, -114.0721057619658 51.04682562870811",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.0721057619658 51.04682562870811, -114.07220906072267 51.04682843535705, -114.07243432136848 51.04683455552397, -114.07243245302875 51.04686283028561, -114.07207459952134 51.04685310796169, -114.07207646807716 51.04682483230663, -114.0721057619658 51.04682562870811"
Enclosed,,"MULTIPOLYGON (((-114.07932441746418 51.04682826833522, -114.07932971872894 51.04674832085156, -114.07941868580767 51.04671395471845, -114.07942087621291 51.04667718972186, -114.07902463967194 51.046444326675086, -114.07902107660001 51.046501787855966, -114.0789762057719 51.0465004202804, -114.07897668248005 51.04649393746249, -114.07898033493498 51.04644288140666, -114.07898512391003 51.04637668137827, -114.07898895116878 51.04632360161426, -114.07899126951602 51.046291438380884, -114.07906695112271 51.04629272038588, -114.07924963854587 51.04641794858796, -114.07951020216089 51.046603490500665, -114.07949660766526 51.04679053471391, -114.0794235671209 51.04678966202313, -114.07941958725935 51.046830793648645, -114.07932441746418 51.04682826833522",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07932441746418 51.04682826833522, -114.07932971872894 51.04674832085156, -114.07941868580767 51.04671395471845, -114.07942087621291 51.04667718972186, -114.07902463967194 51.046444326675086, -114.07902107660001 51.046501787855966, -114.0789762057719 51.0465004202804, -114.07897668248005 51.04649393746249, -114.07898033493498 51.04644288140666, -114.07898512391003 51.04637668137827, -114.07898895116878 51.04632360161426, -114.07899126951602 51.046291438380884, -114.07906695112271 51.04629272038588, -114.07924963854587 51.04641794858796, -114.07951020216089 51.046603490500665, -114.07949660766526 51.04679053471391, -114.0794235671209 51.04678966202313, -114.07941958725935 51.046830793648645, -114.07932441746418 51.04682826833522"
Enclosed,,"MULTIPOLYGON (((-114.07398503408164 51.048106769166154, -114.07399822942219 51.04792803869716, -114.0743039124483 51.04793674190443, -114.07429661396283 51.04803964029184, -114.07423147524247 51.04803780372491, -114.07423586307826 51.04797594710394, -114.07406495826167 51.04797108150918, -114.07405539154718 51.04810880303498, -114.07398503408164 51.048106769166154",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07398503408164 51.048106769166154, -114.07399822942219 51.04792803869716, -114.0743039124483 51.04793674190443, -114.07429661396283 51.04803964029184, -114.07423147524247 51.04803780372491, -114.07423586307826 51.04797594710394, -114.07406495826167 51.04797108150918, -114.07405539154718 51.04810880303498, -114.07398503408164 51.048106769166154"
Enclosed,,"MULTIPOLYGON (((-114.0784938339202 51.04642923010618, -114.07849467233488 51.04641733343051, -114.07846786390543 51.04641460866414, -114.07839862964532 51.04640829578751, -114.07834542978318 51.046395561545005, -114.07830505848331 51.04638659077605, -114.07825137184325 51.04636762063954, -114.07821681239183 51.046355497744656, -114.07818933337276 51.04634408298894, -114.07816623290921 51.04633289273879, -114.07814805867238 51.046321955397815, -114.07812615310122 51.0463097925507, -114.07809322889068 51.046292233333936, -114.0780363395149 51.04625550602188, -114.07796528553985 51.046207390049496, -114.07797380469971 51.046083126484625, -114.07797751989685 51.046083242670555, -114.07807664934226 51.04608633818264, -114.07807383546543 51.04617700960649, -114.07810170269804 51.04620055847122, -114.07814801729045 51.04623294808503, -114.07820315774502 51.04626510163825, -114.07826006801496 51.046290446055956, -114.07830955214757 51.046312994220976, -114.07839351415255 51.046337312696835, -114.07844065512586 51.046344560954424, -114.07849668636663 51.046350886269956, -114.07859181745165 51.04636232290603, -114.0786068735952 51.046401477448676, -114.07860477240233 51.046432343309355, -114.0784938339202 51.04642923010618",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.0784938339202 51.04642923010618, -114.07849467233488 51.04641733343051, -114.07846786390543 51.04641460866414, -114.07839862964532 51.04640829578751, -114.07834542978318 51.046395561545005, -114.07830505848331 51.04638659077605, -114.07825137184325 51.04636762063954, -114.07821681239183 51.046355497744656, -114.07818933337276 51.04634408298894, -114.07816623290921 51.04633289273879, -114.07814805867238 51.046321955397815, -114.07812615310122 51.0463097925507, -114.07809322889068 51.046292233333936, -114.0780363395149 51.04625550602188, -114.07796528553985 51.046207390049496, -114.07797380469971 51.046083126484625, -114.07797751989685 51.046083242670555, -114.07807664934226 51.04608633818264, -114.07807383546543 51.04617700960649, -114.07810170269804 51.04620055847122, -114.07814801729045 51.04623294808503, -114.07820315774502 51.04626510163825, -114.07826006801496 51.046290446055956, -114.07830955214757 51.046312994220976, -114.07839351415255 51.046337312696835, -114.07844065512586 51.046344560954424, -114.07849668636663 51.046350886269956, -114.07859181745165 51.04636232290603, -114.0786068735952 51.046401477448676, -114.07860477240233 51.046432343309355, -114.0784938339202 51.04642923010618"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06351014548865 51.04753267919419, -114.063572486028 51.04753528918307, -114.06357254450006 51.04753528915126, -114.06357020140766 51.047567639069506, -114.06370900026869 51.04757093644313, -114.06370586516915 51.047625731453834, -114.06367818272217 51.04762511725768, -114.06364841629902 51.04762423359894, -114.06364259185742 51.04770746188976, -114.0636335153572 51.04783619526313, -114.06357348594169 51.04783442908438, -114.063587475036 51.04762291741039, -114.0635006338982 51.04762089518673, -114.06350497155942 51.047558854704896, -114.06351773601976 51.04755916240947, -114.063519219137 51.0475382505929, -114.06350979334646 51.04753797883128, -114.06351014548865 51.04753267919419",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.06351014548865 51.04753267919419, -114.063572486028 51.04753528918307, -114.06357254450006 51.04753528915126, -114.06357020140766 51.047567639069506, -114.06370900026869 51.04757093644313, -114.06370586516915 51.047625731453834, -114.06367818272217 51.04762511725768, -114.06364841629902 51.04762423359894, -114.06364259185742 51.04770746188976, -114.0636335153572 51.04783619526313, -114.06357348594169 51.04783442908438, -114.063587475036 51.04762291741039, -114.0635006338982 51.04762089518673, -114.06350497155942 51.047558854704896, -114.06351773601976 51.04755916240947, -114.063519219137 51.0475382505929, -114.06350979334646 51.04753797883128, -114.06351014548865 51.04753267919419"
Enclosed,,"MULTIPOLYGON (((-114.06903276884724 51.046553197495705, -114.06893500440243 51.04655050254114, -114.06883675214482 51.046547745762965, -114.06884063894952 51.04649140572463, -114.06897521448846 51.046495257594266, -114.06898925769633 51.04622371625247, -114.06841529868517 51.04620713944415, -114.06808981891726 51.046198027832745, -114.0680903745817 51.04618794732242, -114.06809280705248 51.04614385576401, -114.06813034345537 51.04614473286306, -114.06813090313779 51.046137397814334, -114.06840078773396 51.04614399416985, -114.0685935306444 51.04614810908498, -114.06875608811389 51.04614513955461, -114.06900058668063 51.046152667307645, -114.06910489891129 51.04615532057933, -114.06920045806078 51.04610173737773, -114.06944641594565 51.0461086915872, -114.06945817024787 51.045951579139995, -114.06946325699299 51.04586947288918, -114.06947607392786 51.04586986980919, -114.06953666714813 51.04589732527699, -114.06960319996267 51.045872321187524, -114.06963481767212 51.04587306738086, -114.06987540541184 51.04588114220967, -114.0698714919047 51.04593782391441, -114.06964037536393 51.04593120966015, -114.06955320372374 51.0459789116441, -114.0695441546623 51.046110043962265, -114.07028774482791 51.046132903241954, -114.07025922565558 51.046154647672815, -114.07024928400999 51.04618182061931, -114.07025702308864 51.04620700609616, -114.07027282517045 51.046226387448705, -114.07028195022075 51.04623351711244, -114.0695375340387 51.046210579177746, -114.06953578607971 51.04623945523722, -114.06942156996637 51.04623628862644, -114.06907980290116 51.046226685120615, -114.06907106264651 51.046439813456736, -114.06906210352828 51.04655376449876, -114.06903276884724 51.046553197495705",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.06903276884724 51.046553197495705, -114.06893500440243 51.04655050254114, -114.06883675214482 51.046547745762965, -114.06884063894952 51.04649140572463, -114.06897521448846 51.046495257594266, -114.06898925769633 51.04622371625247, -114.06841529868517 51.04620713944415, -114.06808981891726 51.046198027832745, -114.0680903745817 51.04618794732242, -114.06809280705248 51.04614385576401, -114.06813034345537 51.04614473286306, -114.06813090313779 51.046137397814334, -114.06840078773396 51.04614399416985, -114.0685935306444 51.04614810908498, -114.06875608811389 51.04614513955461, -114.06900058668063 51.046152667307645, -114.06910489891129 51.04615532057933, -114.06920045806078 51.04610173737773, -114.06944641594565 51.0461086915872, -114.06945817024787 51.045951579139995, -114.06946325699299 51.04586947288918, -114.06947607392786 51.04586986980919, -114.06953666714813 51.04589732527699, -114.06960319996267 51.045872321187524, -114.06963481767212 51.04587306738086, -114.06987540541184 51.04588114220967, -114.0698714919047 51.04593782391441, -114.06964037536393 51.04593120966015, -114.06955320372374 51.0459789116441, -114.0695441546623 51.046110043962265, -114.07028774482791 51.046132903241954, -114.07025922565558 51.046154647672815, -114.07024928400999 51.04618182061931, -114.07025702308864 51.04620700609616, -114.07027282517045 51.046226387448705, -114.07028195022075 51.04623351711244, -114.0695375340387 51.046210579177746, -114.06953578607971 51.04623945523722, -114.06942156996637 51.04623628862644, -114.06907980290116 51.046226685120615, -114.06907106264651 51.046439813456736, -114.06906210352828 51.04655376449876, -114.06903276884724 51.046553197495705"
